C4BE84	Texas Instruments.
94D723	Shanghai DareGlobal Technologies Co., Ltd
002137	Bay Controls, LLC
68F125	Data Controls Inc.
4891F6	Shenzhen Reach software technology CO.,LTD
000F82	Mortara Instrument, Inc.
004079	JUKO MANUFACTURE COMPANY, LTD.
00127D	MobileAria
E8088B	Huawei Technologies Co., Ltd
080061	JAROGATE LTD.
003000	ALLWELL TECHNOLOGY CORP.
000970	Vibration Research Corporation
00607B	FORE SYSTEMS, INC.
50AF73	Shenzhen Bitland Information Technology Co., Ltd.
34862A	Heinz Lackmann GmbH & Co KG
702526	Alcatel-Lucent
1CB17F	NEC Platforms, Ltd.
0036FE	SuperVision
00223A	Scientific Atlanta, Cisco SPVT Group
0019B6	Euro Emme s.r.l.
CC0CDA	Miljovakt AS
00E05C	MATSUSHITA KOTOBUKI ELECTRONICS INDUSTRIES, LTD.
0080C4	DOCUMENT TECHNOLOGIES, INC.
2046F9	Advanced Network Devices (dba:AND)
001CC6	ProStor Systems
98F8DB	Marini Impianti Industriali s.r.l.
C40006	Lipi Data Systems Ltd.
68DB67	Nantong Coship Electronics Co., Ltd
0022FC	Nokia Danmark A/S
C45444	QUANTA COMPUTER INC.
001BFF	Millennia Media inc.
001A54	Hip Shing Electronics Ltd.
000A97	SONICblue, Inc.
7CE56B	ESEN Optoelectronics Technology Co.,Ltd.
0023E7	Hinke A/S
009020	PHILIPS ANALYTICAL X-RAY B.V.
C83EA7	KUNBUS GmbH
801934	Intel Corporate
001B47	Futarque A/S
001420	G-Links networking company
000071	ADRA SYSTEMS INC.
EC71DB	Shenzhen Baichuan Digital Technology Co., Ltd.
001469	CISCO SYSTEMS, INC.
CCB55A	Fraunhofer ITWM
0016CC	Xcute Mobile Corp.
00803E	SYNERNETICS
000C31	CISCO SYSTEMS, INC.
00E02A	TANDBERG TELEVISION AS
000F4A	Kyushu-kyohan co.,ltd
000366	ASM Pacific Technology
000117	CANAL +
002645	Circontrol S.A.
00007A	DANA COMPUTER INC.
00135C	OnSite Systems, Inc.
00107D	AURORA COMMUNICATIONS, LTD.
00C053	Aspect Software Inc.
2469A5	Huawei Technologies Co., Ltd
0017C0	PureTech Systems, Inc.
000FC8	Chantry Networks
00C0AC	GAMBIT COMPUTER COMMUNICATIONS
3C6A7D	Niigata Power Systems Co., Ltd.
446D6C	Samsung Elec Co.,Ltd
001D98	Nokia Danmark A/S
001ED2	Ray Shine Video Technology Inc
000322	IDIS Co., Ltd.
505527	LG Electronics
0017AB	Nintendo Co., Ltd.
C4EDBA	Texas Instruments
000423	Intel Corporation
CCEF48	CISCO SYSTEMS, INC.
0080B5	UNITED NETWORKS INC.
001DDD	DAT H.K. LIMITED
FCEDB9	Arrayent
001C7B	Castlenet Technology Inc.
001041	BRISTOL BABCOCK, INC.
00212E	dresden-elektronik
7C72E4	Unikey Technologies
6CA7FA	YOUNGBO ENGINEERING INC.
74A02F	Cisco
001057	Rebel.com, Inc.
B058C4	Broadcast Microwave Services, Inc
406186	MICRO-STAR INTL CO.,LTD
00507D	IFP
00C022	LASERMASTER TECHNOLOGIES, INC.
00105E	Spirent plc, Service Assurance Broadband
0022D1	Albrecht Jung GmbH & Co. KG
24A074	Apple
00169D	CISCO SYSTEMS, INC.
0090D4	BindView Development Corp.
00C0C1	QUAD/GRAPHICS, INC.
00170D	Dust Networks Inc.
14373B	PROCOM Systems
00D0F7	NEXT NETS CORPORATION
54A9D4	Minibar Systems
0011D6	HandEra, Inc.
001FC5	Nintendo Co., Ltd.
C495A2	SHENZHEN WEIJIU INDUSTRY AND TRADE DEVELOPMENT CO., LTD
74042B	Lenovo Mobile Communication (Wuhan) Company Limited
000EB6	Riverbed Technology, Inc.
00405E	NORTH HILLS ISRAEL
001F11	OPENMOKO, INC.
2C4401	Samsung Electronics Co.,Ltd
00DD0E	UNGERMANN-BASS INC.
001341	Shandong New Beiyang Information Technology Co.,Ltd
58971E	Cisco
00168F	GN Netcom as
78EB39	Instituto Nacional de Tecnolog铆a Industrial
0002C6	Data Track Technology PLC
20BFDB	DVL
8C088B	Remote Solution
00035C	Saint Song Corp.
0050C6	LOOP TELECOMMUNICATION INTERNATIONAL, INC.
00229F	Sensys Traffic AB
0080DE	GIPSI S.A.
DCD52A	Sunny Heart Limited
002298	Sony Ericsson Mobile Communications
000F04	cim-usa inc
005081	MURATA MACHINERY, LTD.
00A0D6	SBE, INC.
000BA7	Maranti Networks
00074B	Daihen Corporation
24F2DD	Radiant Zemax LLC
001E1C	SWS Australia Pty Limited
000746	TURCK, Inc.
C0BDD1	Samsung Electro Mechanics co., LTD.
001B04	Affinity International S.p.a
F4F646	Dediprog Technology Co. Ltd.
94D60E	shenzhen yunmao information technologies co., ltd
021C7C	PERQ SYSTEMS CORPORATION
00E0BB	NBX CORPORATION
001801	Actiontec Electronics, Inc
0016A5	Tandberg Storage ASA
9C685B	Octonion SA
5C254C	Avire Global Pte Ltd
CC9635	LVS Co.,Ltd.
0014E0	LETS Corporation
70B265	Hiltron s.r.l.
0040C6	FIBERNET RESEARCH, INC.
F8D756	Simm Tronic Limited
00196E	Metacom (Pty) Ltd.
00171A	Winegard Company
000C96	OQO, Inc.
001D55	ZANTAZ, Inc
48DCFB	Nokia Corporation
00A0BD	I-TECH CORP.
D49524	Clover Network, Inc.
5492BE	Samsung Electronics Co.,Ltd
90B97D	Johnson Outdoors Marine Electronics d/b/a Minnkota
0060EB	FOURTHTRACK SYSTEMS
0090A0	8X8 INC.
000804	ICA Inc.
000AFB	Ambri Limited
001868	Scientific Atlanta, A Cisco Company
F8D0BD	Samsung Electronics Co.,Ltd
001AE4	Medicis Technologies Corporation
2CF4C5	Avaya, Inc
000E39	CISCO SYSTEMS, INC.
00C0D7	TAIWAN TRADING CENTER DBA
A824EB	ZAO NPO Introtest
6C416A	Cisco
2C9AA4	NGI SpA
008030	NEXUS ELECTRONICS
A4D1D2	Apple
000F10	RDM Corporation
0025EA	Iphion BV
0004A0	Verity Instruments, Inc.
3863F6	3NOD MULTIMEDIA(SHENZHEN)CO.,LTD
0024A7	Advanced Video Communications Inc.
4C7367	Genius Bytes Software Solutions GmbH
101DC0	Samsung Electronics Co.,Ltd
001218	ARUZE Corporation
C86C87	ZyXEL Communications Corporation
0011EE	Estari, Inc.
DC1792	Captivate Network
000FF6	Darfon Electronics Corp.
00A0DF	STS TECHNOLOGIES, INC.
00906B	APPLIED RESOURCES, INC.
0030BB	CacheFlow, Inc.
28656B	Keystone Microtech Corporation
506028	Xirrus Inc.
406AAB	RIM
AC9403	Envision Peripherals Inc
000C19	Telio Communications GmbH
744D79	Arrive Systems Inc.
001C04	Airgain, Inc.
4C8FA5	Jastec
00175F	XENOLINK Communications Co., Ltd.
6C0B84	Universal Global Scientific Industrial Co.,Ltd.
D4945A	COSMO CO., LTD
1C973D	PRICOM Design
74ADB7	China Mobile Group Device Co.,Ltd.
001A53	Zylaya
000EA3	CNCR-IT CO.,LTD,HangZhou P.R.CHINA
001BC3	Mobisolution Co.,Ltd
0030E7	CNF MOBILE SOLUTIONS, INC.
001541	StrataLight Communications, Inc.
0000E2	ACER TECHNOLOGIES CORP.
000094	ASANTE TECHNOLOGIES
C0E422	Texas Instruments
9803D8	Apple
001A1C	GT&T Engineering Pte Ltd
000740	Buffalo Inc.
00144B	Hifn, Inc.
0080F7	ZENITH ELECTRONICS
0006F6	CISCO SYSTEMS, INC.
003098	Global Converging Technologies
88CEFA	Huawei Technologies Co., Ltd
000A2C	Active Tchnology Corporation
